LEGAL_COUNTRY_ISO3;LEGAL_COUNTRY_CODE;LEGAL_COUNTRY_NAME_FR;LOCAL_SCOPE_TYPE;LOCAL_SCOPE_CODE;LOCAL_EXCHANGE_CODE;LOCAL_CURRENCY_CODE;REGIONAL_SCOPE_CODE;CONTINENT_SCOPE_CODE;ROUTING_BASIS_CODE;STATUS;VERSION
AGO;ANGOLA;Angola;COUNTRY;ANGOLA;;AOA;AFRICA_CENTRALE;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
BDI;BURUNDI;Burundi;COUNTRY;BURUNDI;;BIF;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
BEN;BENIN;Bénin;MARKET_ZONE;UEMOA;BRVM;XOF;AFRICA_OUEST;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
BFA;BURKINA_FASO;Burkina Faso;MARKET_ZONE;UEMOA;BRVM;XOF;AFRICA_OUEST;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
BWA;BOTSWANA;Botswana;COUNTRY;BOTSWANA;;BWP;AFRICA_AUSTRALE;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
CAF;REPUBLIQUE_CENTRAFRICAINE;République centrafricaine;MARKET_ZONE;CEMAC;BVMAC;XAF;AFRICA_CENTRALE;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
CIV;COTE_DIVOIRE;Côte d’Ivoire;MARKET_ZONE;UEMOA;BRVM;XOF;AFRICA_OUEST;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
CMR;CAMEROUN;Cameroun;MARKET_ZONE;CEMAC;BVMAC;XAF;AFRICA_CENTRALE;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
COD;REPUBLIQUE_DEMOCRATIQUE_DU_CONGO;République démocratique du Congo;COUNTRY;REPUBLIQUE_DEMOCRATIQUE_DU_CONGO;;CDF;AFRICA_CENTRALE;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
COG;REPUBLIQUE_DU_CONGO;République du Congo;MARKET_ZONE;CEMAC;BVMAC;XAF;AFRICA_CENTRALE;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
COM;COMORES;Comores;COUNTRY;COMORES;;KMF;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
CPV;CABO_VERDE;Cabo Verde;COUNTRY;CABO_VERDE;;CVE;AFRICA_OUEST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
DJI;DJIBOUTI;Djibouti;COUNTRY;DJIBOUTI;;DJF;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
DZA;ALGERIE;Algérie;COUNTRY;ALGERIE;;DZD;AFRICA_NORD;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
EGY;EGYPTE;Égypte;COUNTRY;EGYPTE;;EGP;AFRICA_NORD;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
ERI;ERYTHREE;Érythrée;COUNTRY;ERYTHREE;;ERN;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
ETH;ETHIOPIE;Éthiopie;COUNTRY;ETHIOPIE;;ETB;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
GAB;GABON;Gabon;MARKET_ZONE;CEMAC;BVMAC;XAF;AFRICA_CENTRALE;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
GHA;GHANA;Ghana;COUNTRY;GHANA;;GHS;AFRICA_OUEST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
GIN;GUINEE;Guinée;COUNTRY;GUINEE;;GNF;AFRICA_OUEST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
GMB;GAMBIE;Gambie;COUNTRY;GAMBIE;;GMD;AFRICA_OUEST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
GNB;GUINEE_BISSAU;Guinée-Bissau;MARKET_ZONE;UEMOA;BRVM;XOF;AFRICA_OUEST;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
GNQ;GUINEE_EQUATORIALE;Guinée équatoriale;MARKET_ZONE;CEMAC;BVMAC;XAF;AFRICA_CENTRALE;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
KEN;KENYA;Kenya;COUNTRY;KENYA;;KES;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
LBR;LIBERIA;Liberia;COUNTRY;LIBERIA;;LRD;AFRICA_OUEST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
LBY;LIBYE;Libye;COUNTRY;LIBYE;;LYD;AFRICA_NORD;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
LSO;LESOTHO;Lesotho;COUNTRY;LESOTHO;JSE;LSL;AFRICA_AUSTRALE;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
MAR;MAROC;Maroc;COUNTRY;MAROC;;MAD;AFRICA_NORD;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
MDG;MADAGASCAR;Madagascar;COUNTRY;MADAGASCAR;;MGA;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
MLI;MALI;Mali;MARKET_ZONE;UEMOA;BRVM;XOF;AFRICA_OUEST;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
MOZ;MOZAMBIQUE;Mozambique;COUNTRY;MOZAMBIQUE;;MZN;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
MRT;MAURITANIE;Mauritanie;COUNTRY;MAURITANIE;;MRU;AFRICA_OUEST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
MUS;MAURICE;Maurice;COUNTRY;MAURICE;;MUR;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
MWI;MALAWI;Malawi;COUNTRY;MALAWI;;MWK;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
NAM;NAMIBIE;Namibie;COUNTRY;NAMIBIE;JSE;NAD;AFRICA_AUSTRALE;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
NER;NIGER;Niger;MARKET_ZONE;UEMOA;BRVM;XOF;AFRICA_OUEST;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
NGA;NIGERIA;Nigeria;COUNTRY;NIGERIA;;NGN;AFRICA_OUEST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
RWA;RWANDA;Rwanda;COUNTRY;RWANDA;;RWF;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
SDN;SOUDAN;Soudan;COUNTRY;SOUDAN;;SDG;AFRICA_NORD;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
