SCOPE_CODE;CATEGORY_SUFFIX;FIELD_CODE;OVERRIDE_VALUE;STATUS;NOTES;VERSION
UEMOA;ACTIONS;PRIMARY_PROVIDER_SERIES_CANDIDATE_CODE;BRVM_COMPOSITE;CANDIDATE_TO_VALIDATE;Indice actions principal du marché commun BRVM;0.1.0
CEMAC;ACTIONS;PRIMARY_PROVIDER_SERIES_CANDIDATE_CODE;BVMAC_ALL_SHARE;CANDIDATE_TO_VALIDATE;Indice actions principal candidat de la BVMAC;0.1.0
MAROC;ACTIONS;PRIMARY_PROVIDER_SERIES_CANDIDATE_CODE;MASI;CANDIDATE_TO_VALIDATE;Indice actions large du Maroc;0.1.0
GHANA;ACTIONS;PRIMARY_PROVIDER_SERIES_CANDIDATE_CODE;GSE_COMPOSITE;CANDIDATE_TO_VALIDATE;Indice composite de la Ghana Stock Exchange;0.1.0
TUNISIE;ACTIONS;PRIMARY_PROVIDER_SERIES_CANDIDATE_CODE;TUNINDEX;CANDIDATE_TO_VALIDATE;Indice actions principal candidat de la Bourse de Tunis;0.1.0
EGYPTE;ACTIONS;PRIMARY_PROVIDER_SERIES_CANDIDATE_CODE;EGX_BROAD_MARKET_INDEX;CANDIDATE_TO_VALIDATE;Méthodologie du large index à confirmer;0.1.0
NIGERIA;ACTIONS;PRIMARY_PROVIDER_SERIES_CANDIDATE_CODE;NGX_ALL_SHARE;CANDIDATE_TO_VALIDATE;NGX All-Share Index;0.1.0
KENYA;ACTIONS;PRIMARY_PROVIDER_SERIES_CANDIDATE_CODE;NSE_ALL_SHARE;CANDIDATE_TO_VALIDATE;NSE All Share Index candidat;0.1.0
BOTSWANA;ACTIONS;PRIMARY_PROVIDER_SERIES_CANDIDATE_CODE;BSE_DOMESTIC_COMPANY_INDEX;CANDIDATE_TO_VALIDATE;Domestic Company Index candidat;0.1.0
NAMIBIE;ACTIONS;PRIMARY_PROVIDER_SERIES_CANDIDATE_CODE;NSX_OVERALL;CANDIDATE_TO_VALIDATE;Licences et type de rendement à vérifier;0.1.0
ETHIOPIE;ACTIONS;PRIMARY_PROVIDER_SERIES_CANDIDATE_CODE;;NO_OFFICIAL_BROAD_INDEX_IDENTIFIED;Ne pas inventer un indice large avant publication officielle;0.1.0
