MAPPING_ID;STANDARD_VERSION;EXTERNAL_FIELD_ID;CANONICAL_FIELD_ID;CANONICAL_ENTITY;MAPPING_STATUS;TRANSFORMATION_RULE;INFORMATION_LOSS;IMPORT_SUPPORTED;EXPORT_SUPPORTED;VALIDATION_STATUS;SOURCE_SHA256;SOURCE_REFERENCE;NOTES
MAP-000001;2.13.0;OFST010010;OF_FUND_FUND_ENTITY_STATE_DOMICILE_COUNTRY_ID;FUND_ENTITY_STATE;TRANSFORMED;ISO_3166_ALPHA2_TO_REF_GEOGRAPHY_UUID;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST010010;Fund domicile alpha-2 resolved through governed geography reference and reversible by alpha-2 lookup
MAP-000002;2.13.0;OFST020000;OF_FUND_FUND_ENTITY_IDENTIFIER_IDENTIFIER_VALUE;FUND_ENTITY_IDENTIFIER;ONE_TO_MANY;IDENTITY;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020000;Preserve source ISIN value in versioned external identifier record
MAP-000003;2.13.0;OFST020000;OF_FUND_FUND_ENTITY_IDENTIFIER_IDENTIFIER_SCHEME;FUND_ENTITY_IDENTIFIER;ONE_TO_MANY;CONSTANT_ISIN;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020000;ISIN source field deterministically sets identifier scheme to ISIN and selects ISIN records on export
MAP-000004;2.13.0;OFST020000;OF_FUND_FUND_ENTITY_IDENTIFIER_NORMALIZED_VALUE;FUND_ENTITY_IDENTIFIER;ONE_TO_MANY;TRIM_AND_UPPERCASE_ISIN;NONE;YES;NO;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020000;Derived canonical matching value only and never used alone as exported source value
MAP-000005;2.13.0;OFST010410;OF_FUND_FUND_PROFILE_BASE_CURRENCY_ID;FUND_PROFILE;TRANSFORMED;ISO_4217_TO_REF_CURRENCY_UUID;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST010410;Fund base currency ISO 4217 code resolved through governed ref.currency and reversible by currency-code lookup
MAP-000006;2.13.0;OFST020540;OF_FUND_SHARE_CLASS_PROFILE_CURRENCY_ID;SHARE_CLASS_PROFILE;TRANSFORMED;ISO_4217_TO_REF_CURRENCY_UUID;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020540;Share-class reference currency ISO 4217 code resolved through governed ref.currency and reversible by currency-code lookup
MAP-000007;2.13.0;OFST020010;OF_FUND_FUND_ENTITY_IDENTIFIER_IDENTIFIER_VALUE;FUND_ENTITY_IDENTIFIER;ONE_TO_MANY;INTEGER_TO_DECIMAL_STRING;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020010;Valor integer is preserved as its canonical decimal string in the versioned identifier record
MAP-000008;2.13.0;OFST020010;OF_FUND_FUND_ENTITY_IDENTIFIER_IDENTIFIER_SCHEME;FUND_ENTITY_IDENTIFIER;ONE_TO_MANY;CONSTANT_VALOR;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020010;Valor source field deterministically sets identifier scheme to VALOR and selects VALOR records on export
MAP-000009;2.13.0;OFST020010;OF_FUND_FUND_ENTITY_IDENTIFIER_NORMALIZED_VALUE;FUND_ENTITY_IDENTIFIER;ONE_TO_MANY;INTEGER_TO_DECIMAL_STRING;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020010;Valor normalized matching value is the canonical decimal string
MAP-000010;2.13.0;OFST020015;OF_FUND_FUND_ENTITY_IDENTIFIER_IDENTIFIER_VALUE;FUND_ENTITY_IDENTIFIER;ONE_TO_MANY;IDENTITY;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020015;Preserve source WKN value in the versioned identifier record
