ISO3;COUNTRY_CODE;NAME_FR_SOURCE;REGION_CODE;CONTINENT_CODE;CURRENCY_CODE;MONETARY_ZONE_CODE;COMMON_EXCHANGE_CODE;MARKET_SCOPE_CODE;IS_COMMON_MARKET_MEMBER
AGO;ANGOLA;Angola;AFRICA_CENTRALE;AFRICA;AOA;;;ANGOLA;False
BDI;BURUNDI;Burundi;AFRICA_EST;AFRICA;BIF;;;BURUNDI;False
BEN;BENIN;Bénin;AFRICA_OUEST;AFRICA;XOF;UEMOA;BRVM;UEMOA;True
BFA;BURKINA_FASO;Burkina Faso;AFRICA_OUEST;AFRICA;XOF;UEMOA;BRVM;UEMOA;True
BWA;BOTSWANA;Botswana;AFRICA_AUSTRALE;AFRICA;BWP;;;BOTSWANA;False
CAF;REPUBLIQUE_CENTRAFRICAINE;République centrafricaine;AFRICA_CENTRALE;AFRICA;XAF;CEMAC;BVMAC;CEMAC;True
CIV;COTE_DIVOIRE;Côte d’Ivoire;AFRICA_OUEST;AFRICA;XOF;UEMOA;BRVM;UEMOA;True
CMR;CAMEROUN;Cameroun;AFRICA_CENTRALE;AFRICA;XAF;CEMAC;BVMAC;CEMAC;True
COD;REPUBLIQUE_DEMOCRATIQUE_DU_CONGO;République démocratique du Congo;AFRICA_CENTRALE;AFRICA;CDF;;;REPUBLIQUE_DEMOCRATIQUE_DU_CONGO;False
COG;REPUBLIQUE_DU_CONGO;République du Congo;AFRICA_CENTRALE;AFRICA;XAF;CEMAC;BVMAC;CEMAC;True
COM;COMORES;Comores;AFRICA_EST;AFRICA;KMF;;;COMORES;False
CPV;CABO_VERDE;Cabo Verde;AFRICA_OUEST;AFRICA;CVE;;;CABO_VERDE;False
DJI;DJIBOUTI;Djibouti;AFRICA_EST;AFRICA;DJF;;;DJIBOUTI;False
DZA;ALGERIE;Algérie;AFRICA_NORD;AFRICA;DZD;;;ALGERIE;False
EGY;EGYPTE;Égypte;AFRICA_NORD;AFRICA;EGP;;;EGYPTE;False
ERI;ERYTHREE;Érythrée;AFRICA_EST;AFRICA;ERN;;;ERYTHREE;False
ETH;ETHIOPIE;Éthiopie;AFRICA_EST;AFRICA;ETB;;;ETHIOPIE;False
GAB;GABON;Gabon;AFRICA_CENTRALE;AFRICA;XAF;CEMAC;BVMAC;CEMAC;True
GHA;GHANA;Ghana;AFRICA_OUEST;AFRICA;GHS;;;GHANA;False
GIN;GUINEE;Guinée;AFRICA_OUEST;AFRICA;GNF;;;GUINEE;False
GMB;GAMBIE;Gambie;AFRICA_OUEST;AFRICA;GMD;;;GAMBIE;False
GNB;GUINEE_BISSAU;Guinée-Bissau;AFRICA_OUEST;AFRICA;XOF;UEMOA;BRVM;UEMOA;True
GNQ;GUINEE_EQUATORIALE;Guinée équatoriale;AFRICA_CENTRALE;AFRICA;XAF;CEMAC;BVMAC;CEMAC;True
KEN;KENYA;Kenya;AFRICA_EST;AFRICA;KES;;;KENYA;False
LBR;LIBERIA;Liberia;AFRICA_OUEST;AFRICA;LRD;;;LIBERIA;False
LBY;LIBYE;Libye;AFRICA_NORD;AFRICA;LYD;;;LIBYE;False
LSO;LESOTHO;Lesotho;AFRICA_AUSTRALE;AFRICA;LSL;CMA;JSE;LESOTHO;False
MAR;MAROC;Maroc;AFRICA_NORD;AFRICA;MAD;;;MAROC;False
MDG;MADAGASCAR;Madagascar;AFRICA_EST;AFRICA;MGA;;;MADAGASCAR;False
MLI;MALI;Mali;AFRICA_OUEST;AFRICA;XOF;UEMOA;BRVM;UEMOA;True
MOZ;MOZAMBIQUE;Mozambique;AFRICA_EST;AFRICA;MZN;;;MOZAMBIQUE;False
MRT;MAURITANIE;Mauritanie;AFRICA_OUEST;AFRICA;MRU;;;MAURITANIE;False
MUS;MAURICE;Maurice;AFRICA_EST;AFRICA;MUR;;;MAURICE;False
MWI;MALAWI;Malawi;AFRICA_EST;AFRICA;MWK;;;MALAWI;False
NAM;NAMIBIE;Namibie;AFRICA_AUSTRALE;AFRICA;NAD;CMA;JSE;NAMIBIE;False
NER;NIGER;Niger;AFRICA_OUEST;AFRICA;XOF;UEMOA;BRVM;UEMOA;True
NGA;NIGERIA;Nigeria;AFRICA_OUEST;AFRICA;NGN;;;NIGERIA;False
RWA;RWANDA;Rwanda;AFRICA_EST;AFRICA;RWF;;;RWANDA;False
SDN;SOUDAN;Soudan;AFRICA_NORD;AFRICA;SDG;;;SOUDAN;False
SEN;SENEGAL;Sénégal;AFRICA_OUEST;AFRICA;XOF;UEMOA;BRVM;UEMOA;True
SLE;SIERRA_LEONE;Sierra Leone;AFRICA_OUEST;AFRICA;SLE;;;SIERRA_LEONE;False
SOM;SOMALIE;Somalie;AFRICA_EST;AFRICA;SOS;;;SOMALIE;False
SSD;SOUDAN_DU_SUD;Soudan du Sud;AFRICA_EST;AFRICA;SSP;;;SOUDAN_DU_SUD;False
STP;SAO_TOME_ET_PRINCIPE;Sao Tomé-et-Principe;AFRICA_CENTRALE;AFRICA;STN;;;SAO_TOME_ET_PRINCIPE;False
SWZ;ESWATINI;Eswatini;AFRICA_AUSTRALE;AFRICA;SZL;CMA;JSE;ESWATINI;False
SYC;SEYCHELLES;Seychelles;AFRICA_EST;AFRICA;SCR;;;SEYCHELLES;False
TCD;TCHAD;Tchad;AFRICA_CENTRALE;AFRICA;XAF;CEMAC;BVMAC;CEMAC;True
TGO;TOGO;Togo;AFRICA_OUEST;AFRICA;XOF;UEMOA;BRVM;UEMOA;True
TUN;TUNISIE;Tunisie;AFRICA_NORD;AFRICA;TND;;;TUNISIE;False
TZA;TANZANIE;Tanzanie;AFRICA_EST;AFRICA;TZS;;;TANZANIE;False
UGA;OUGANDA;Ouganda;AFRICA_EST;AFRICA;UGX;;;OUGANDA;False
ZAF;AFRIQUE_DU_SUD;Afrique du Sud;AFRICA_AUSTRALE;AFRICA;ZAR;CMA;JSE;AFRIQUE_DU_SUD;False
ZMB;ZAMBIE;Zambie;AFRICA_EST;AFRICA;ZMW;;;ZAMBIE;False
ZWE;ZIMBABWE;Zimbabwe;AFRICA_EST;AFRICA;ZWG;;;ZIMBABWE;False
