COLLECTION_SPEC_ID;PROVIDER_SERIES_ID;COLLECTION_METHOD;ENDPOINT_TYPE;REQUEST_METHOD;DISCOVERY_RULE;FILE_PATTERN;SHEET_RULE;TABLE_OR_SELECTOR;DATE_EXTRACTION_RULE;VALUE_EXTRACTION_RULE;NUMBER_PARSING_RULE;CURRENCY_RULE;FREQUENCY_CHECK;EXPECTED_PUBLICATION_LAG_DAYS;DEDUPLICATION_KEY;REVISION_HANDLING;RAW_ARTIFACT_REQUIRED;HASH_REQUIRED;PARSER_VERSION;RETRY_POLICY;QUALITY_CHECK_PROFILE;IMPLEMENTATION_STATUS;VALIDATION_STATUS;SOURCE_NOTE
CS_UEMOA_TAUX_DIRECTEUR;PS_UEMOA_TAUX_DIRECTEUR;TO_DEFINE;DATA_PORTAL;GET;DISCOVER_OFFICIAL_SERIES;;;;EVENT_EFFECTIVE_DATE;RATE_VALUE;LOCALE_AWARE_PERCENT;;DAILY_CHECK;;;KEEP_ALL_VINTAGES;1;1;;STANDARD_BACKOFF;RATE_EVENT_CHECKS;SPECIFICATION_REQUIRED;PENDING;NO_UNVERIFIED_SELECTOR_OR_URL
CS_UEMOA_TAUX_INTERBANCAIRE;PS_UEMOA_TAUX_INTERBANCAIRE;TO_DEFINE;DATA_PORTAL;GET;DISCOVER_OFFICIAL_SERIES;;;;OBSERVATION_DATE;RATE_VALUE;LOCALE_AWARE_PERCENT;;DAILY_CHECK;;;KEEP_ALL_REVISIONS;1;1;;STANDARD_BACKOFF;DAILY_RATE_CHECKS;SPECIFICATION_REQUIRED;PENDING;NO_UNVERIFIED_SELECTOR_OR_URL
CS_UEMOA_FX_XOF_EUR;PS_UEMOA_FX_XOF_EUR;TO_DEFINE;DATA_PORTAL;GET;DISCOVER_OFFICIAL_SERIES;;;;OBSERVATION_DATE;FX_RATE;LOCALE_AWARE_DECIMAL;XOF_TO_EUR_CANONICAL;DAILY_CHECK;;;KEEP_ALL_REVISIONS;1;1;;STANDARD_BACKOFF;FX_CHECKS;SPECIFICATION_REQUIRED;PENDING;NORMALISE_TO_1_SOURCE_CURRENCY_EQUALS_X_TARGET
CS_UEMOA_FX_XOF_USD;PS_UEMOA_FX_XOF_USD;TO_DEFINE;DATA_PORTAL;GET;DISCOVER_OFFICIAL_SERIES;;;;OBSERVATION_DATE;FX_RATE;LOCALE_AWARE_DECIMAL;XOF_TO_USD_CANONICAL;DAILY_CHECK;;;KEEP_ALL_REVISIONS;1;1;;STANDARD_BACKOFF;FX_CHECKS;SPECIFICATION_REQUIRED;PENDING;NORMALISE_TO_1_SOURCE_CURRENCY_EQUALS_X_TARGET
CS_UEMOA_ACTIONS_ALL_SHARE;PS_UEMOA_ACTIONS_ALL_SHARE;TO_DEFINE;DATA_PORTAL;GET;DISCOVER_INDEX_HISTORY;;;;TRADING_DATE;INDEX_LEVEL;LOCALE_AWARE_DECIMAL;XOF;DAILY_CHECK;;;KEEP_CORRECTIONS_AND_VINTAGES;1;1;;STANDARD_BACKOFF;INDEX_LEVEL_CHECKS;SPECIFICATION_REQUIRED;PENDING;PRICE_OR_TOTAL_RETURN_STATUS_TO_VERIFY
CS_CEMAC_TAUX_DIRECTEUR;PS_CEMAC_TAUX_DIRECTEUR;TO_DEFINE;DATA_PORTAL;GET;DISCOVER_OFFICIAL_SERIES;;;;EVENT_EFFECTIVE_DATE;RATE_VALUE;LOCALE_AWARE_PERCENT;;DAILY_CHECK;;;KEEP_ALL_VINTAGES;1;1;;STANDARD_BACKOFF;RATE_EVENT_CHECKS;SPECIFICATION_REQUIRED;PENDING;NO_UNVERIFIED_SELECTOR_OR_URL
CS_CEMAC_TAUX_INTERBANCAIRE;PS_CEMAC_TAUX_INTERBANCAIRE;TO_DEFINE;DATA_PORTAL;GET;DISCOVER_OFFICIAL_SERIES;;;;OBSERVATION_DATE;RATE_VALUE;LOCALE_AWARE_PERCENT;;DAILY_CHECK;;;KEEP_ALL_REVISIONS;1;1;;STANDARD_BACKOFF;DAILY_RATE_CHECKS;SPECIFICATION_REQUIRED;PENDING;NO_UNVERIFIED_SELECTOR_OR_URL
CS_CEMAC_FX_XAF_EUR;PS_CEMAC_FX_XAF_EUR;TO_DEFINE;DATA_PORTAL;GET;DISCOVER_OFFICIAL_SERIES;;;;OBSERVATION_DATE;FX_RATE;LOCALE_AWARE_DECIMAL;XAF_TO_EUR_CANONICAL;DAILY_CHECK;;;KEEP_ALL_REVISIONS;1;1;;STANDARD_BACKOFF;FX_CHECKS;SPECIFICATION_REQUIRED;PENDING;NORMALISE_TO_1_SOURCE_CURRENCY_EQUALS_X_TARGET
CS_CEMAC_FX_XAF_USD;PS_CEMAC_FX_XAF_USD;TO_DEFINE;DATA_PORTAL;GET;DISCOVER_OFFICIAL_SERIES;;;;OBSERVATION_DATE;FX_RATE;LOCALE_AWARE_DECIMAL;XAF_TO_USD_CANONICAL;DAILY_CHECK;;;KEEP_ALL_REVISIONS;1;1;;STANDARD_BACKOFF;FX_CHECKS;SPECIFICATION_REQUIRED;PENDING;NORMALISE_TO_1_SOURCE_CURRENCY_EQUALS_X_TARGET
CS_CEMAC_ACTIONS_ALL_SHARE;PS_CEMAC_ACTIONS_ALL_SHARE;TO_DEFINE;DATA_PORTAL;GET;DISCOVER_INDEX_HISTORY;;;;TRADING_DATE;INDEX_LEVEL;LOCALE_AWARE_DECIMAL;XAF;DAILY_CHECK;;;KEEP_CORRECTIONS_AND_VINTAGES;1;1;;STANDARD_BACKOFF;INDEX_LEVEL_CHECKS;SPECIFICATION_REQUIRED;PENDING;PRICE_OR_TOTAL_RETURN_STATUS_TO_VERIFY
CS_STANDARD_MACRO_PIB;PS_MAROC_PIB|PS_GHANA_PIB|PS_NIGERIA_PIB|PS_TUNISIE_PIB|PS_EGYPTE_PIB|PS_KENYA_PIB;TO_DEFINE;DATA_PORTAL;GET;DISCOVER_TABLE_OR_DOWNLOAD;;;;PERIOD_END;VALUE;LOCALE_AWARE_DECIMAL;NATIVE_CURRENCY;WEEKLY_CHECK;;;KEEP_PRELIMINARY_AND_REVISED_VINTAGES;1;1;;STANDARD_BACKOFF;MACRO_VINTAGE_CHECKS;TEMPLATE_ONLY;PENDING;ONE_COUNTRY_SPEC_REQUIRED_PER_PROVIDER_SERIES
CS_STANDARD_MACRO_CPI;PS_MAROC_IPC|PS_GHANA_IPC|PS_NIGERIA_IPC|PS_TUNISIE_IPC|PS_EGYPTE_IPC|PS_KENYA_IPC;TO_DEFINE;DATA_PORTAL;GET;DISCOVER_TABLE_OR_DOWNLOAD;;;;REFERENCE_MONTH;INDEX_LEVEL;LOCALE_AWARE_DECIMAL;;DAILY_OR_WEEKLY_CHECK;;;KEEP_BASES_AND_REVISED_VINTAGES;1;1;;STANDARD_BACKOFF;CPI_BASE_AND_CONTINUITY_CHECKS;TEMPLATE_ONLY;PENDING;ONE_COUNTRY_SPEC_REQUIRED_PER_PROVIDER_SERIES
