SOURCE_ENTITY_CODE;RELATIONSHIP_TYPE;TARGET_ENTITY_CODE;RELATIONSHIP_DOMAIN;RELATIONSHIP_ROLE;VALID_FROM;VALID_TO;IS_PRIMARY;VALIDATION_STATUS;SOURCE_NOTE
ANGOLA;BELONGS_TO_REGION;AFRICA_CENTRALE;GEOGRAPHY;PRIMARY_REGION;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
ANGOLA;BELONGS_TO_CONTINENT;AFRICA;GEOGRAPHY;PRIMARY_CONTINENT;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
ANGOLA;USES_CURRENCY;AOA;CURRENCY;LOCAL_CURRENCY;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
ANGOLA;USES_MARKET_SCOPE;ANGOLA;MARKET;PRIMARY_MARKET_SCOPE;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BURUNDI;BELONGS_TO_REGION;AFRICA_EST;GEOGRAPHY;PRIMARY_REGION;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BURUNDI;BELONGS_TO_CONTINENT;AFRICA;GEOGRAPHY;PRIMARY_CONTINENT;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BURUNDI;USES_CURRENCY;BIF;CURRENCY;LOCAL_CURRENCY;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BURUNDI;USES_MARKET_SCOPE;BURUNDI;MARKET;PRIMARY_MARKET_SCOPE;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BENIN;BELONGS_TO_REGION;AFRICA_OUEST;GEOGRAPHY;PRIMARY_REGION;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BENIN;BELONGS_TO_CONTINENT;AFRICA;GEOGRAPHY;PRIMARY_CONTINENT;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BENIN;USES_CURRENCY;XOF;CURRENCY;LOCAL_CURRENCY;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BENIN;USES_MARKET_SCOPE;UEMOA;MARKET;PRIMARY_MARKET_SCOPE;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BENIN;BELONGS_TO_MONETARY_ZONE;UEMOA;MONETARY;PRIMARY_MONETARY_ZONE;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BENIN;USES_CENTRAL_BANK;BCEAO;INSTITUTION;CENTRAL_BANK;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BENIN;USES_COMMON_EXCHANGE;BRVM;MARKET;COMMON_EXCHANGE;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BURKINA_FASO;BELONGS_TO_REGION;AFRICA_OUEST;GEOGRAPHY;PRIMARY_REGION;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BURKINA_FASO;BELONGS_TO_CONTINENT;AFRICA;GEOGRAPHY;PRIMARY_CONTINENT;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BURKINA_FASO;USES_CURRENCY;XOF;CURRENCY;LOCAL_CURRENCY;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BURKINA_FASO;USES_MARKET_SCOPE;UEMOA;MARKET;PRIMARY_MARKET_SCOPE;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BURKINA_FASO;BELONGS_TO_MONETARY_ZONE;UEMOA;MONETARY;PRIMARY_MONETARY_ZONE;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BURKINA_FASO;USES_CENTRAL_BANK;BCEAO;INSTITUTION;CENTRAL_BANK;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
BURKINA_FASO;USES_COMMON_EXCHANGE;BRVM;MARKET;COMMON_EXCHANGE;;;1;PENDING;DERIVED_FROM_04_MATRICE_PAYS_DOMAINES
