CURRENCY_CODE;ISO_4217_STATUS;CANONICAL_NAME;DISPLAY_NAME_FR;DISPLAY_NAME_EN;IS_REPORTING_CURRENCY;IS_AFRICAN_LOCAL_CURRENCY;VALID_FROM;VALID_TO;VALIDATION_STATUS;SOURCE_NOTE
AOA;PENDING;AOA;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
BIF;PENDING;BIF;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
XOF;PENDING;XOF;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
BWP;PENDING;BWP;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
XAF;PENDING;XAF;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
CDF;PENDING;CDF;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
KMF;PENDING;KMF;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
CVE;PENDING;CVE;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
DJF;PENDING;DJF;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
DZD;PENDING;DZD;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
EGP;PENDING;EGP;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
ERN;PENDING;ERN;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
ETB;PENDING;ETB;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
GHS;PENDING;GHS;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
GNF;PENDING;GNF;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
GMD;PENDING;GMD;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
KES;PENDING;KES;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
LRD;PENDING;LRD;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
LYD;PENDING;LYD;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
LSL;PENDING;LSL;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
MAD;PENDING;MAD;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
MGA;PENDING;MGA;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
MZN;PENDING;MZN;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
MRU;PENDING;MRU;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
MUR;PENDING;MUR;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
MWK;PENDING;MWK;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
NAD;PENDING;NAD;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
NGN;PENDING;NGN;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
RWF;PENDING;RWF;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
SDG;PENDING;SDG;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
SLE;PENDING;SLE;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
SOS;PENDING;SOS;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
SSP;PENDING;SSP;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
STN;PENDING;STN;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
SZL;PENDING;SZL;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
SCR;PENDING;SCR;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
TND;PENDING;TND;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
TZS;PENDING;TZS;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
UGX;PENDING;UGX;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
ZAR;PENDING;ZAR;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
ZMW;PENDING;ZMW;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
ZWG;PENDING;ZWG;;;0;1;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
EUR;PENDING;EUR;;;1;0;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
USD;PENDING;USD;;;1;0;;;PENDING;DERIVED_FROM_AFRICA_COUNTRIES_OR_REPORTING_REQUIREMENT
