FX_PAIR_CODE;SOURCE_CURRENCY_CODE;TARGET_CURRENCY_CODE;QUOTE_CONVENTION;PAIR_ROLE;DIRECT_SOURCE_REQUIRED;TRIANGULATION_ALLOWED;TRIANGULATION_CURRENCY_CODE;FREQUENCY_TARGET;VALIDATION_STATUS;SOURCE_NOTE
AOA_EUR;AOA;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
AOA_USD;AOA;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
BIF_EUR;BIF;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
BIF_USD;BIF;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
XOF_EUR;XOF;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
XOF_USD;XOF;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
BWP_EUR;BWP;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
BWP_USD;BWP;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
XAF_EUR;XAF;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
XAF_USD;XAF;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
