ROLE_CODE;ROLE_DOMAIN;NAME_FR_CANONICAL;NAME_EN;DESCRIPTION;CAN_BE_COUNTRY_SCOPE;CAN_BE_ZONE_SCOPE;CAN_BE_REGIONAL_SCOPE;CAN_BE_CONTINENT_SCOPE;IS_DATA_PROVIDER_ROLE;IS_REGULATORY_ROLE;IS_MARKET_INFRASTRUCTURE_ROLE;IS_ACTIVE
CENTRAL_BANK;MONETARY;BANQUE CENTRALE;CENTRAL BANK;AUTORITE MONETAIRE PRINCIPALE OU BANQUE CENTRALE COMPETENTE;1;1;1;0;1;1;0;1
MONETARY_AUTHORITY;MONETARY;AUTORITE MONETAIRE;MONETARY AUTHORITY;AUTORITE MONETAIRE LORSQU IL N EXISTE PAS DE BANQUE CENTRALE CLASSIQUE;1;1;1;0;1;1;0;1
STOCK_EXCHANGE;MARKET;BOURSE;STOCK EXCHANGE;OPERATEUR DE MARCHE ACTIONS OBLIGATIONS OU AUTRES VALEURS MOBILIERES;1;1;1;0;1;0;1;1
COMMON_STOCK_EXCHANGE;MARKET;BOURSE COMMUNE;COMMON STOCK EXCHANGE;BOURSE PARTAGEE PAR PLUSIEURS PAYS;0;1;1;0;1;0;1;1
CAPITAL_MARKET_REGULATOR;REGULATORY;REGULATEUR DES MARCHES DE CAPITAUX;CAPITAL MARKET REGULATOR;AUTORITE DE REGULATION DES MARCHES FINANCIERS ET VALEURS MOBILIERES;1;1;1;0;1;1;0;1
FUND_REGULATOR;REGULATORY;REGULATEUR DES OPCVM ET FONDS;FUND REGULATOR;AUTORITE COMPETENTE POUR LES OPCVM FONDS ET SOCIETES DE GESTION;1;1;1;0;1;1;0;1
INSURANCE_PENSION_REGULATOR;REGULATORY;REGULATEUR ASSURANCE ET PENSIONS;INSURANCE AND PENSION REGULATOR;AUTORITE DE REGULATION DES ASSURANCES RETRAITES ET PENSIONS;1;1;1;0;1;1;0;1
STATISTICS_OFFICE;STATISTICS;INSTITUT NATIONAL DE STATISTIQUE;NATIONAL STATISTICS OFFICE;ORGANISME OFFICIEL DE STATISTIQUES DEMOGRAPHIQUES ECONOMIQUES ET SOCIALES;1;0;1;0;1;0;0;1
MINISTRY_OF_FINANCE;FISCAL;MINISTERE DES FINANCES;MINISTRY OF FINANCE;MINISTERE RESPONSABLE DES FINANCES PUBLIQUES DU BUDGET ET DE LA DETTE;1;0;0;0;1;0;0;1
TREASURY;FISCAL;TRESOR;TREASURY;ADMINISTRATION DU TRESOR ET DE LA TRESORERIE PUBLIQUE;1;1;0;0;1;0;0;1
DEBT_MANAGEMENT_OFFICE;DEBT;AGENCE DE GESTION DE LA DETTE;DEBT MANAGEMENT OFFICE;ORGANISME CHARGE DE LA DETTE PUBLIQUE ET DU PROGRAMME D EMISSION;1;1;1;0;1;0;0;1
GOVERNMENT_SECURITIES_AGENCY;DEBT;AGENCE DES TITRES PUBLICS;GOVERNMENT SECURITIES AGENCY;ORGANISME D EMISSION ADJUDICATION ET DIFFUSION DES TITRES PUBLICS;1;1;1;0;1;0;1;1
CENTRAL_SECURITIES_DEPOSITORY;MARKET_INFRASTRUCTURE;DEPOSITAIRE CENTRAL;CENTRAL SECURITIES DEPOSITORY;INFRASTRUCTURE DE CONSERVATION REGLEMENT LIVRAISON ET IDENTIFICATION DES TITRES;1;1;1;0;1;0;1;1
CLEARING_HOUSE;MARKET_INFRASTRUCTURE;CHAMBRE DE COMPENSATION;CLEARING HOUSE;INFRASTRUCTURE DE COMPENSATION DES TRANSACTIONS;1;1;1;0;1;0;1;1
INDEX_PROVIDER;INDEX;FOURNISSEUR D INDICES;INDEX PROVIDER;ORGANISME PRODUCTEUR OU ADMINISTRATEUR D INDICES DE MARCHE;1;1;1;1;1;0;0;1
INTERBANK_MARKET_OPERATOR;MONETARY;OPERATEUR DU MARCHE INTERBANCAIRE;INTERBANK MARKET OPERATOR;ORGANISME OU PLATEFORME DE MARCHE INTERBANCAIRE ET MONETAIRE;1;1;1;0;1;0;1;1
FX_REFERENCE_RATE_PROVIDER;FX;FOURNISSEUR DE TAUX DE CHANGE DE REFERENCE;FX REFERENCE RATE PROVIDER;ORGANISME PRODUISANT LES TAUX DE CHANGE OFFICIELS OU DE REFERENCE;1;1;1;1;1;0;0;1
ECONOMIC_COMMUNITY;INSTITUTIONAL;COMMUNAUTE ECONOMIQUE;ECONOMIC COMMUNITY;ORGANISATION ECONOMIQUE REGIONALE;0;1;1;1;1;0;0;1
MONETARY_UNION;INSTITUTIONAL;UNION MONETAIRE;MONETARY UNION;ORGANISATION REGROUPANT PLUSIEURS PAYS AUTOUR D UNE MONNAIE OU POLITIQUE MONETAIRE COMMUNE;0;1;1;0;1;1;0;1
SUPRANATIONAL_AUTHORITY;INSTITUTIONAL;AUTORITE SUPRANATIONALE;SUPRANATIONAL AUTHORITY;AUTORITE EXERCANT UNE COMPETENCE SUR PLUSIEURS PAYS;0;1;1;1;1;1;0;1
OTHER_OFFICIAL_DATA_PROVIDER;SOURCE;AUTRE FOURNISSEUR OFFICIEL;OTHER OFFICIAL DATA PROVIDER;ORGANISME PUBLIC OU OFFICIEL NON COUVERT PAR UN ROLE PLUS PRECIS;1;1;1;1;1;0;0;1
