PROVIDER_SERIES_ID;MAPPING_CODE;ORGANIZATION_CODE;ENDPOINT_CODE;CANONICAL_INDICATOR_CODE;PROVIDER_SERIES_CODE;PROVIDER_SERIES_NAME;PROVIDER_SERIES_URL;NATIVE_FREQUENCY;NATIVE_UNIT;NATIVE_CURRENCY;DATE_START;DATE_END;PUBLICATION_LAG_DAYS;REVISION_POLICY;HISTORY_STATUS;VALIDATION_STATUS;SOURCE_NOTE
PS_UEMOA_TAUX_DIRECTEUR;UEMOA_D07_POLICY_RATE;BCEAO;BCEAO_DATA_PORTAL;TAUX_DIRECTEUR;;;;EVENT_DRIVEN;PERCENT;;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;EXACT_PROVIDER_SERIES_TO_VERIFY
PS_UEMOA_TAUX_INTERBANCAIRE;UEMOA_D07_INTERBANK;BCEAO;BCEAO_DATA_PORTAL;TAUX_INTERBANCAIRE;;;;DAILY;PERCENT;;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;EXACT_PROVIDER_SERIES_TO_VERIFY
PS_UEMOA_FX_XOF_EUR;UEMOA_D09_FX_EUR;BCEAO;BCEAO_DATA_PORTAL;FX_XOF_EUR;;;;DAILY;FX_RATE;XOF;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;EXACT_PROVIDER_SERIES_TO_VERIFY
PS_UEMOA_FX_XOF_USD;UEMOA_D09_FX_USD;BCEAO;BCEAO_DATA_PORTAL;FX_XOF_USD;;;;DAILY;FX_RATE;XOF;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;EXACT_PROVIDER_SERIES_TO_VERIFY
PS_UEMOA_ACTIONS_ALL_SHARE;UEMOA_D11_ALL_SHARE;BRVM;BRVM_MARKET_DATA;INDICE_ACTIONS_ALL_SHARE;;;;DAILY;INDEX_LEVEL;XOF;;;;CORRECTIONS_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;OFFICIAL_INDEX_NAME_AND_CODE_TO_VERIFY
PS_CEMAC_TAUX_DIRECTEUR;CEMAC_D07_POLICY_RATE;BEAC;BEAC_DATA_PORTAL;TAUX_DIRECTEUR;;;;EVENT_DRIVEN;PERCENT;;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;EXACT_PROVIDER_SERIES_TO_VERIFY
PS_CEMAC_TAUX_INTERBANCAIRE;CEMAC_D07_INTERBANK;BEAC;BEAC_DATA_PORTAL;TAUX_INTERBANCAIRE;;;;DAILY;PERCENT;;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;EXACT_PROVIDER_SERIES_TO_VERIFY
PS_CEMAC_FX_XAF_EUR;CEMAC_D09_FX_EUR;BEAC;BEAC_DATA_PORTAL;FX_XAF_EUR;;;;DAILY;FX_RATE;XAF;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;EXACT_PROVIDER_SERIES_TO_VERIFY
PS_CEMAC_FX_XAF_USD;CEMAC_D09_FX_USD;BEAC;BEAC_DATA_PORTAL;FX_XAF_USD;;;;DAILY;FX_RATE;XAF;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;EXACT_PROVIDER_SERIES_TO_VERIFY
PS_CEMAC_ACTIONS_ALL_SHARE;CEMAC_D11_ALL_SHARE;BVMAC;BVMAC_MARKET_DATA;INDICE_ACTIONS_ALL_SHARE;;;;DAILY;INDEX_LEVEL;XAF;;;;CORRECTIONS_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;OFFICIAL_INDEX_NAME_AND_CODE_TO_VERIFY
PS_MAROC_PIB;MAROC_D03_GDP;HCP_MAROC;HCP_MAROC_DATA;PIB_NOMINAL;;;;QUARTERLY_ANNUAL;CURRENCY;MAD;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;TABLE_OR_SERIES_TO_IDENTIFY
PS_MAROC_IPC;MAROC_D04_CPI;HCP_MAROC;HCP_MAROC_DATA;INDICE_PRIX_CONSOMMATION;;;;MONTHLY;INDEX_LEVEL;;;;;BASE_AND_REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;TABLE_OR_SERIES_TO_IDENTIFY
PS_MAROC_TAUX_DIRECTEUR;MAROC_D07_POLICY_RATE;BAM;BAM_OFFICIAL;TAUX_DIRECTEUR;;;;EVENT_DRIVEN;PERCENT;;;;;EVENT_HISTORY_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;DECISION_SERIES_TO_IDENTIFY
