ISO3;Pays;Domaine ID;Statut actuel;Prochaine action
DZA;Algérie;D07;Source reliée;Identifier puis tester la source officielle
DZA;Algérie;D10;Partiel intégré;Identifier puis tester la source officielle
AGO;Angola;D10;Partiel intégré;Identifier puis tester la source officielle
BEN;Bénin;D07;Partiel intégré;Identifier puis tester la source officielle
BEN;Bénin;D10;Partiel intégré;Identifier puis tester la source officielle
BEN;Bénin;D17;Partiel intégré;Identifier puis tester la source officielle
BWA;Botswana;D07;Partiel intégré;Identifier puis tester la source officielle
BWA;Botswana;D10;Source reliée;Identifier puis tester la source officielle
BWA;Botswana;D17;Partiel intégré;Identifier puis tester la source officielle
BFA;Burkina Faso;D07;Partiel intégré;Identifier puis tester la source officielle
BFA;Burkina Faso;D10;Partiel intégré;Identifier puis tester la source officielle
BFA;Burkina Faso;D17;Partiel intégré;Identifier puis tester la source officielle
CMR;Cameroun;D07;Partiel intégré;Identifier puis tester la source officielle
CMR;Cameroun;D10;Partiel intégré;Identifier puis tester la source officielle
CMR;Cameroun;D17;Partiel intégré;Identifier puis tester la source officielle
CAF;République centrafricaine;D07;Partiel intégré;Identifier puis tester la source officielle
CAF;République centrafricaine;D10;Partiel intégré;Identifier puis tester la source officielle
CAF;République centrafricaine;D17;Partiel intégré;Identifier puis tester la source officielle
TCD;Tchad;D07;Partiel intégré;Identifier puis tester la source officielle
TCD;Tchad;D10;Partiel intégré;Identifier puis tester la source officielle
TCD;Tchad;D17;Partiel intégré;Identifier puis tester la source officielle
COG;République du Congo;D07;Partiel intégré;Identifier puis tester la source officielle
COG;République du Congo;D10;Partiel intégré;Identifier puis tester la source officielle
COG;République du Congo;D17;Partiel intégré;Identifier puis tester la source officielle
CIV;Côte d’Ivoire;D07;Partiel intégré;Identifier puis tester la source officielle
CIV;Côte d’Ivoire;D10;Partiel intégré;Identifier puis tester la source officielle
CIV;Côte d’Ivoire;D17;Partiel intégré;Identifier puis tester la source officielle
EGY;Égypte;D07;Partiel intégré;Identifier puis tester la source officielle
EGY;Égypte;D10;Partiel intégré;Identifier puis tester la source officielle
EGY;Égypte;D17;Partiel intégré;Identifier puis tester la source officielle
GNQ;Guinée équatoriale;D07;Partiel intégré;Identifier puis tester la source officielle
GNQ;Guinée équatoriale;D10;Partiel intégré;Identifier puis tester la source officielle
GNQ;Guinée équatoriale;D17;Partiel intégré;Identifier puis tester la source officielle
ETH;Éthiopie;D10;Partiel intégré;Identifier puis tester la source officielle
GAB;Gabon;D07;Partiel intégré;Identifier puis tester la source officielle
