BRANCH_NAME;HEAD_SHA;MERGE_BASE_WITH_MAIN;AHEAD_BY;BEHIND_BY;UNIQUE_COMMITS;OPEN_PR;DEPENDENT_PR;WORKFLOW_REFERENCE;EXTERNAL_REFERENCE_STATUS;RECOMMENDED_DECISION
main;946145e4b33a6289eb340a16bf5c651cb9bbee7c;946145e4b33a6289eb340a16bf5c651cb9bbee7c;0;0;0;NONE;PR1_FUTURE_TARGET_CANDIDATE;"DEFAULT_BRANCH_ONLY;NO_PROJECT_WORKFLOWS_AT_HEAD";EXTERNAL_SYSTEMS_NOT_ACCESSIBLE;"KEEP;MAKE_STABLE_ONLY_AFTER_REVIEWED_BASELINE"
architecture/canonical-model-v1-bootstrap;136abf71f0825075361f8c7446e19c6f6476a3a5;946145e4b33a6289eb340a16bf5c651cb9bbee7c;13;0;13_RELATIVE_TO_MAIN;PR#1_BASE;PR#1;NO_BRANCH_SPECIFIC_WORKFLOW_OBSERVED;EXTERNAL_SYSTEMS_NOT_ACCESSIBLE;"KEEP_UNTIL_PR1_STRATEGY_DECIDED;CONTENT_DUPLICATED_AT_FULL_BRANCH_TIP"
architecture/canonical-model-v1-bootstrap-2;946145e4b33a6289eb340a16bf5c651cb9bbee7c;946145e4b33a6289eb340a16bf5c651cb9bbee7c;0;0;0;NONE;NONE;NONE_OBSERVED;EXTERNAL_SYSTEMS_NOT_ACCESSIBLE;DELETE_ONLY_AFTER_EXTERNAL_REFERENCE_CHECK
architecture/canonical-model-v1-bootstrap-3;946145e4b33a6289eb340a16bf5c651cb9bbee7c;946145e4b33a6289eb340a16bf5c651cb9bbee7c;0;0;0;NONE;NONE;NONE_OBSERVED;EXTERNAL_SYSTEMS_NOT_ACCESSIBLE;DELETE_ONLY_AFTER_EXTERNAL_REFERENCE_CHECK
architecture/canonical-model-v1-bootstrap-4;946145e4b33a6289eb340a16bf5c651cb9bbee7c;946145e4b33a6289eb340a16bf5c651cb9bbee7c;0;0;0;NONE;NONE;NONE_OBSERVED;EXTERNAL_SYSTEMS_NOT_ACCESSIBLE;DELETE_ONLY_AFTER_EXTERNAL_REFERENCE_CHECK
architecture/canonical-model-v1-bootstrap-5;946145e4b33a6289eb340a16bf5c651cb9bbee7c;946145e4b33a6289eb340a16bf5c651cb9bbee7c;0;0;0;NONE;NONE;NONE_OBSERVED;EXTERNAL_SYSTEMS_NOT_ACCESSIBLE;DELETE_ONLY_AFTER_EXTERNAL_REFERENCE_CHECK
architecture/canonical-model-v1-bootstrap-6;946145e4b33a6289eb340a16bf5c651cb9bbee7c;946145e4b33a6289eb340a16bf5c651cb9bbee7c;0;0;0;NONE;NONE;NONE_OBSERVED;EXTERNAL_SYSTEMS_NOT_ACCESSIBLE;DELETE_ONLY_AFTER_EXTERNAL_REFERENCE_CHECK
architecture/canonical-model-v1-bootstrap-7;946145e4b33a6289eb340a16bf5c651cb9bbee7c;946145e4b33a6289eb340a16bf5c651cb9bbee7c;0;0;0;NONE;NONE;NONE_OBSERVED;EXTERNAL_SYSTEMS_NOT_ACCESSIBLE;DELETE_ONLY_AFTER_EXTERNAL_REFERENCE_CHECK
architecture/canonical-model-v1-bootstrap-8;946145e4b33a6289eb340a16bf5c651cb9bbee7c;946145e4b33a6289eb340a16bf5c651cb9bbee7c;0;0;0;NONE;NONE;NONE_OBSERVED;EXTERNAL_SYSTEMS_NOT_ACCESSIBLE;DELETE_ONLY_AFTER_EXTERNAL_REFERENCE_CHECK
architecture/canonical-model-v1-bootstrap-final;946145e4b33a6289eb340a16bf5c651cb9bbee7c;946145e4b33a6289eb340a16bf5c651cb9bbee7c;0;0;0;NONE;NONE;NONE_OBSERVED;EXTERNAL_SYSTEMS_NOT_ACCESSIBLE;DELETE_ONLY_AFTER_EXTERNAL_REFERENCE_CHECK
architecture/africafunds-country-indicators-v0.1;cce82f3276d408ddb71366f5236c10282f0b6614;946145e4b33a6289eb340a16bf5c651cb9bbee7c;179;0;"179_RELATIVE_TO_MAIN;173_RELATIVE_TO_PR1_BASE";PR#1_HEAD;PR#2_BASE;"5_WORKFLOWS_TARGET_THIS_BRANCH;ALL_LAST_OBSERVED_RUNS_SUCCESS";EXTERNAL_SYSTEMS_NOT_ACCESSIBLE;"KEEP_ACTIVE;PREFERRED_COMPLETE_BASELINE_AFTER_REVIEW"
agent/official-africa-source-handoff-20260803;81d32b83e6a87d01c4e66c2c2db00199b4553d70;946145e4b33a6289eb340a16bf5c651cb9bbee7c;142;0;"5_RELATIVE_TO_PR2_BASE;142_RELATIVE_TO_MAIN";PR#2_HEAD;PR#1_DOWNSTREAM_VIA_PR2_BASE;NO_BRANCH_SPECIFIC_WORKFLOW_OBSERVED;EXTERNAL_SYSTEMS_NOT_ACCESSIBLE;KEEP_UNTIL_PR2_UNIQUE_MARKDOWN_IS_PRESERVED
