ACTION_CODE;SCOPE_CODE;OBJECT_TYPE;PROPOSED_CODE;TARGET_FILE;ACTION;DEPENDENCY;RECOMMENDED_STATUS;MUST_NOT_DO;NOTES
ACT_ORG_BOB;BOTSWANA;ORGANIZATION;BOB;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;AFRICA_COUNTRIES.csv contains BOTSWANA;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_CREATE_SECOND_COUNTRY;Bank of Botswana
ACT_ORG_NBFIRA;BOTSWANA;ORGANIZATION;NBFIRA;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;Organization role review;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_INFER_ALL_ROLES;Regulator and fund scope to verify
ACT_ORG_BSE;BOTSWANA;ORGANIZATION;BSE;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;Ticker collision review;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_REUSE_EXISTING_CODE_BLINDLY;Botswana Stock Exchange
ACT_ORG_STATS_BW;BOTSWANA;ORGANIZATION;STATISTICS_BOTSWANA;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;Official identity review;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_USE_AGGREGATOR;Statistics office
ACT_ORG_BON;NAMIBIE;ORGANIZATION;BON;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;AFRICA_COUNTRIES.csv contains NAMIBIE;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_CREATE_SECOND_COUNTRY;Bank of Namibia
ACT_ORG_NAMFISA;NAMIBIE;ORGANIZATION;NAMFISA;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;Organization role review;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_INFER_ALL_ROLES;Financial-sector regulator
ACT_ORG_NSX;NAMIBIE;ORGANIZATION;NSX;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;Exchange identity review;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_CONFLATE_WITH_FTSE;Namibian Stock Exchange
ACT_ORG_NSA_NA;NAMIBIE;ORGANIZATION;NSA_NAMIBIA;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;Official identity review;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_USE_AGGREGATOR;Statistics office
ACT_ORG_NBE;ETHIOPIE;ORGANIZATION;NBE;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;AFRICA_COUNTRIES.csv contains ETHIOPIE;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_CREATE_SECOND_COUNTRY;National Bank of Ethiopia
ACT_ORG_ECMA;ETHIOPIE;ORGANIZATION;ECMA;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;Organization role review;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_INFER_FUND_ROLE;Capital-market regulator
