EVIDENCE_CODE;SCOPE_TYPE;SCOPE_CODE;ORGANIZATION_CODE_PROPOSED;ORGANIZATION_NAME;ROLE_CODE;DATA_FAMILY;SERIES_OR_DATASET;OFFICIAL_URL;ACCESS_MODE;EXPECTED_FREQUENCY;NATIVE_CURRENCY;VERIFICATION_STATUS;COLLECTION_STATUS;TARGET_DOMAIN;NOTES
SRC_MA_BAM_MONIA;COUNTRY;MAROC;BAM;Bank Al-Maghrib;CENTRAL_BANK;MONEY_MARKET;MONIA;https://www.bkam.ma/Marches/Principaux-indicateurs/Marche-monetaire/Indice-monia-moroccan-overnight-index-average;PUBLIC_WEB;DAILY;MAD;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;Official overnight reference-rate history
SRC_MA_BAM_POLICY;COUNTRY;MAROC;BAM;Bank Al-Maghrib;CENTRAL_BANK;POLICY_RATE;Historique des décisions monétaires;https://www.bkam.ma/Politique-monetaire/Cadre-strategique/Decision-de-la-politique-monetaire/Historique-des-decisions;PUBLIC_WEB;EVENT_DRIVEN;MAD;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;Decision and effective dates must remain distinct
SRC_MA_BAM_DEPOSITS;COUNTRY;MAROC;BAM;Bank Al-Maghrib;CENTRAL_BANK;BANKING_RATES;Taux des dépôts à terme;https://www.bkam.ma/Marches/Taux-d-interet/Taux-des-depots-a-terme;PUBLIC_WEB;MONTHLY;MAD;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D08;Preserve tenor and customer category
SRC_MA_BAM_TREASURY_SECONDARY;COUNTRY;MAROC;BAM;Bank Al-Maghrib;GOVERNMENT_SECURITIES_AGENCY;SOVEREIGN_YIELDS;Taux de référence des bons du Trésor;https://www.bkam.ma/Marches/Principaux-indicateurs/Marche-obligataire/Marche-des-bons-de-tresor/Marche-secondaire/Taux-de-reference-des-bons-du-tresor;PUBLIC_WEB;DAILY;MAD;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;Secondary-market reference rates by maturity
SRC_MA_BAM_TREASURY_PRIMARY;COUNTRY;MAROC;BAM;Bank Al-Maghrib;GOVERNMENT_SECURITIES_AGENCY;TREASURY_AUCTIONS;Taux moyens pondérés mensuels des émissions;https://www.bkam.ma/Marches/Principaux-indicateurs/Marche-obligataire/Marche-des-bons-de-tresor/Marche-des-adjudications-des-bons-du-tresor/Taux-moyens-ponderes-mensuels-des-emissions-du-tresor;PUBLIC_WEB;MONTHLY;MAD;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;Primary auction observations
SRC_MA_BAM_MONETARY_STATS;COUNTRY;MAROC;BAM;Bank Al-Maghrib;MONETARY_STATISTICS_PROVIDER;MACRO_MONETARY;Principaux indicateurs monétaires;https://www.bkam.ma/Statistiques/Statistiques-monetaires/Principaux-indicateurs;PUBLIC_WEB;MONTHLY;MAD;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;Money and credit aggregates
SRC_MA_CSE_INDEX;COUNTRY;MAROC;CASABLANCA_BOURSE;Bourse de Casablanca;INDEX_PROVIDER;EQUITY_INDEX;MASI index history;https://www.casablanca-bourse.com/fr/historique-des-indices;PUBLIC_WEB_EXPORT;DAILY;MAD;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D11;Confirm price versus total-return variants
SRC_MA_HCP_MACRO;COUNTRY;MAROC;HCP_MAROC;Haut-Commissariat au Plan;STATISTICS_OFFICE;MACRO;National macroeconomic statistics;https://www.hcp.ma/;PUBLIC_WEB_FILES;MIXED;MAD;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D03_D06;Series-level endpoints still required
SRC_GH_BOG_RATES;COUNTRY;GHANA;BOG;Bank of Ghana;CENTRAL_BANK;BANKING_RATES;Interest rates;https://www.bog.gov.gh/economic-data/interest-rates/;PUBLIC_WEB;MIXED;GHS;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07_D08;Includes savings deposits term deposits lending MPR interbank and bills
SRC_GH_BOG_TIME_SERIES;COUNTRY;GHANA;BOG;Bank of Ghana;MONETARY_STATISTICS_PROVIDER;MACRO_MONETARY;Economic time series;https://www.bog.gov.gh/economic-data/time-series/;PUBLIC_WEB_FILES;MIXED;GHS;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D03_D09;Preserve revisions and native frequency
